Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2290000,1.2087649,32.0,11.171532846715328,2.3834743,3.159614064142976,3.159614064142976,1.0
2300000,1.2064466,33.0,10.740350877192983,2.2405143,2.929126736423779,2.929126736423779,1.0
2310000,1.2062786,33.0,11.713740458015268,2.0413258,2.5077503035592423,2.5077503035592423,1.0
2320000,1.2059262,33.0,11.568181818181818,2.3140848,2.8291578897249354,2.8291578897249354,1.0
2330000,1.2058736,33.0,11.511194029850746,2.1854806,2.6777742945419583,2.6777742945419583,1.0
2340000,1.2041906,33.0,11.796153846153846,2.225413,2.690965279402896,2.690965279402896,1.0
2350000,1.2037699,33.0,11.515037593984962,2.2707002,2.7519149723649026,2.7519149723649026,1.0
2360000,1.2021289,33.0,11.324723247232471,2.384165,3.101978014968108,3.101978014968108,1.0
2370000,1.2016039,33.0,10.97463768115942,2.2936907,3.030670657968865,3.030670657968865,1.0
2380000,1.200435,33.0,11.558490566037737,2.2337198,2.672062957748508,2.672062957748508,1.0
2390000,1.199948,33.0,10.938628158844764,2.1794333,2.736116169366294,2.736116169366294,1.0
2400000,1.1993346,33.0,11.526315789473685,2.1772735,2.7927094801071277,2.7927094801071277,1.0
2410000,1.1989459,33.0,11.15018315018315,2.158677,2.697001191230432,2.697001191230432,1.0
2420000,1.1987039,33.0,10.989169675090253,2.3740206,3.167688688675228,3.167688688675228,1.0
2430000,1.1985303,33.0,11.33210332103321,2.3935277,2.977345661809783,2.977345661809783,1.0
2440000,1.1981952,33.0,11.098181818181818,2.160176,2.8381807199421236,2.8381807199421236,1.0
2450000,1.1979144,33.0,11.422053231939163,2.3870258,3.0297584937990836,3.0297584937990836,1.0
2460000,1.1971436,33.0,10.930909090909092,2.457505,3.1084461703878503,3.1084461703878503,1.0
2470000,1.1963246,33.0,11.65019011406844,2.2893956,2.79438986310476,2.79438986310476,1.0
2480000,1.1955326,34.0,10.043189368770765,2.388386,3.0792557880068823,3.0792557880068823,1.0
2490000,1.1946524,34.0,11.171532846715328,2.2993813,3.0046097560263263,3.0046097560263263,1.0
2500000,1.1944078,34.0,11.204379562043796,2.2155502,2.8188889929979313,2.8188889929979313,1.0
2510000,1.1939795,34.0,10.967625899280575,2.3886297,2.953210011515811,2.953210011515811,1.0
2520000,1.1938001,34.0,11.287822878228782,2.4029217,2.9957549209371575,2.9957549209371575,1.0
2530000,1.1933415,34.0,11.311111111111112,2.2618904,2.8495049347064176,2.8495049347064176,1.0
2540000,1.1931322,34.0,11.297794117647058,2.1270669,2.5741414598396637,2.5741414598396637,1.0
2550000,1.1922424,34.0,11.144927536231885,2.2410557,2.751932032695673,2.751932032695673,1.0
2560000,1.1922472,34.0,11.332089552238806,2.047472,2.6271911234618996,2.6271911234618996,1.0
2570000,1.1922816,34.0,11.053763440860216,2.2416618,2.8675450133103855,2.8675450133103855,1.0
2580000,1.1922382,34.0,10.860714285714286,2.2029316,2.7896061891352044,2.7896061891352044,1.0
2590000,1.1917174,34.0,11.423220973782772,2.2179928,2.830563264249572,2.830563264249572,1.0
2600000,1.1917056,34.0,11.399253731343284,2.1824214,2.608464112855715,2.608464112855715,1.0
2610000,1.1909189,34.0,11.776923076923078,2.0307782,2.418189481988301,2.418189481988301,1.0
2620000,1.1909189,34.0,10.889285714285714,2.2720923,2.9094197331140355,2.9094197331140355,1.0
2630000,1.1900219,34.0,10.897163120567376,2.2126362,2.904740211422404,2.904740211422404,1.0
2640000,1.189964,34.0,11.02909090909091,2.194439,2.9490168726677637,2.9490168726677637,1.0
2650000,1.1891998,34.0,10.932142857142857,2.0361362,2.633996406238495,2.633996406238495,1.0
2660000,1.1890962,34.0,10.70979020979021,2.1483426,2.845259639890919,2.845259639890919,1.0
2670000,1.1880085,35.0,10.268707482993197,2.155185,2.9727912378966743,2.9727912378966743,1.0
2680000,1.1877767,35.0,11.014492753623188,2.1669958,2.7270735699786783,2.7270735699786783,1.0
2690000,1.1872344,35.0,11.441947565543071,2.1004431,2.5455111853259416,2.5455111853259416,1.0
2700000,1.1870463,35.0,10.426116838487973,2.3755226,3.248003424032329,3.248003424032329,1.0
2710000,1.1864091,35.0,11.872586872586872,1.9600312,2.2297438753042442,2.2297438753042442,1.0
2720000,1.1860904,35.0,11.522556390977444,2.1693475,2.6761666255487238,2.6761666255487238,1.0
2730000,1.1857897,35.0,10.88967971530249,2.1663861,2.7855303140089145,2.7855303140089145,1.0
2740000,1.1856325,35.0,11.8,2.0525863,2.567262142515548,2.567262142515548,1.0
2750000,1.1853666,35.0,10.780918727915195,2.2180839,2.86990683705915,2.86990683705915,1.0
2760000,1.1851844,35.0,11.242647058823529,2.254111,2.9729290172330023,2.9729290172330023,1.0
2770000,1.1852113,35.0,10.807017543859649,2.0402908,2.7195870346181534,2.7195870346181534,1.0
2780000,1.1852323,35.0,10.44636678200692,2.050156,2.5805979287433187,2.5805979287433187,1.0
2790000,1.1849011,36.0,9.72258064516129,1.980315,2.767599990098707,2.767599990098707,1.0
2800000,1.184603,36.0,11.708333333333334,2.1539252,2.705740480960783,2.705740480960783,1.0
2810000,1.1843773,36.0,10.942652329749103,2.1731563,2.9042362556270453,2.9042362556270453,1.0
